Title,Description,Keywords,event1,durations1,event2,durations2,event3,durations3,Answer.reasonable-q1,Answer.reasonable-q2,Answer.reasonable-q3
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",mired in a deep slump,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,controlled by a private dealer,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,continued to inspire and revolt,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00,1,1,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",mired in a deep slump,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,controlled by a private dealer,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,continued to inspire and revolt,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00,1,1,1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",toast the nuts in,0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,closed again,0.00|0.10|0.00|0.70|0.00|0.20|0.00|0.00|0.00|0.00|0.00,pleaded with villagers to move,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00,2,2,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",toast the nuts in,0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,closed again,0.00|0.10|0.00|0.70|0.00|0.20|0.00|0.00|0.00|0.00|0.00,pleaded with villagers to move,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00,2,1,-2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",fighting the flu,0.00|0.00|0.00|0.90|0.10|0.00|0.00|0.00|0.00|0.00|0.00,allowed us to keep,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00,met in the oval office,0.00|0.04|0.96|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,2,2,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",fighting the flu,0.00|0.00|0.00|0.90|0.10|0.00|0.00|0.00|0.00|0.00|0.00,allowed us to keep,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00,met in the oval office,0.00|0.04|0.96|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,2,-1,1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",fought for this,0.00|0.00|0.00|0.00|0.00|0.00|0.77|0.23|0.00|0.00|0.00,barred british beef,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,delay the process,0.00|0.00|0.00|0.13|0.33|0.13|0.40|0.00|0.00|0.00|0.00,1,1,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",fought for this,0.00|0.00|0.00|0.00|0.00|0.00|0.77|0.23|0.00|0.00|0.00,barred british beef,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,delay the process,0.00|0.00|0.00|0.13|0.33|0.13|0.40|0.00|0.00|0.00|0.00,2,-2,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",hollering,0.00|0.54|0.00|0.08|0.00|0.00|0.38|0.00|0.00|0.00|0.00,borne,0.00|0.07|0.00|0.00|0.00|0.07|0.53|0.20|0.13|0.00|0.00,held on to,0.00|0.00|0.00|0.00|0.00|0.10|0.50|0.40|0.00|0.00|0.00,1,1,1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",hollering,0.00|0.54|0.00|0.08|0.00|0.00|0.38|0.00|0.00|0.00|0.00,borne,0.00|0.07|0.00|0.00|0.00|0.07|0.53|0.20|0.13|0.00|0.00,held on to,0.00|0.00|0.00|0.00|0.00|0.10|0.50|0.40|0.00|0.00|0.00,-1,-1,1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",renew the sanctions,0.00|0.00|0.00|0.00|0.00|0.33|0.67|0.00|0.00|0.00|0.00,suspend flights,0.00|0.20|0.30|0.20|0.20|0.10|0.00|0.00|0.00|0.00|0.00,led zambia,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,2,2,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",renew the sanctions,0.00|0.00|0.00|0.00|0.00|0.33|0.67|0.00|0.00|0.00|0.00,suspend flights,0.00|0.20|0.30|0.20|0.20|0.10|0.00|0.00|0.00|0.00|0.00,led zambia,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,-1,1,-1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",gone it alone,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,had unusually firm ideas of,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,toiled in the salt pits,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,1,1,-2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",gone it alone,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,had unusually firm ideas of,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,toiled in the salt pits,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,-1,-2,-1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",held onto it,0.00|0.00|0.00|0.00|0.11|0.06|0.33|0.50|0.00|0.00|0.00,plotted,0.00|0.00|0.00|0.04|0.04|0.56|0.30|0.06|0.00|0.00|0.00,leave the united states,0.00|0.00|0.00|0.00|0.00|0.00|0.75|0.25|0.00|0.00|0.00,-1,2,1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",held onto it,0.00|0.00|0.00|0.00|0.11|0.06|0.33|0.50|0.00|0.00|0.00,plotted,0.00|0.00|0.00|0.04|0.04|0.56|0.30|0.06|0.00|0.00|0.00,leave the united states,0.00|0.00|0.00|0.00|0.00|0.00|0.75|0.25|0.00|0.00|0.00,2,2,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",faced resistance,0.00|0.00|0.00|0.00|0.77|0.00|0.23|0.00|0.00|0.00|0.00,studying the causes behind,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,presenting evidence to a federal,0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00,1,1,-2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",faced resistance,0.00|0.00|0.00|0.00|0.77|0.00|0.23|0.00|0.00|0.00|0.00,studying the causes behind,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,presenting evidence to a federal,0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00,1,1,-2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",demilitarise the intifada,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,meet young boys in,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,stay on the station,0.00|0.00|0.00|0.14|0.00|0.86|0.00|0.00|0.00|0.00|0.00,-2,-1,-1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",demilitarise the intifada,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,meet young boys in,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,stay on the station,0.00|0.00|0.00|0.14|0.00|0.86|0.00|0.00|0.00|0.00|0.00,-2,-1,1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",playing understudy to internet firms,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,take care of the hospital,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,spying for the russians,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,2,2,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",playing understudy to internet firms,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,take care of the hospital,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,spying for the russians,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,1,1,1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",stay aboard,0.10|0.00|0.00|0.20|0.00|0.50|0.20|0.00|0.00|0.00|0.00,drinking heavily,0.00|0.00|0.50|0.00|0.30|0.00|0.00|0.20|0.00|0.00|0.00,ignored it,0.00|0.04|0.00|0.00|0.15|0.30|0.37|0.15|0.00|0.00|0.00,1,1,1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",stay aboard,0.10|0.00|0.00|0.20|0.00|0.50|0.20|0.00|0.00|0.00|0.00,drinking heavily,0.00|0.00|0.50|0.00|0.30|0.00|0.00|0.20|0.00|0.00|0.00,ignored it,0.00|0.04|0.00|0.00|0.15|0.30|0.37|0.15|0.00|0.00|0.00,1,2,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",strengthening,0.00|0.00|0.07|0.13|0.13|0.27|0.27|0.13|0.00|0.00|0.00,headed the revolutionary guards corps,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,suffered from dementia,0.00|0.00|0.00|0.00|0.00|0.00|0.36|0.64|0.00|0.00|0.00,2,1,1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",strengthening,0.00|0.00|0.07|0.13|0.13|0.27|0.27|0.13|0.00|0.00|0.00,headed the revolutionary guards corps,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,suffered from dementia,0.00|0.00|0.00|0.00|0.00|0.00|0.36|0.64|0.00|0.00|0.00,1,1,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",remain unresolved,0.00|0.00|0.00|0.00|0.00|0.58|0.25|0.17|0.00|0.00|0.00,turning up bones of tenontosaurs,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,heating oil futures,0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00,2,-1,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",remain unresolved,0.00|0.00|0.00|0.00|0.00|0.58|0.25|0.17|0.00|0.00|0.00,turning up bones of tenontosaurs,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,heating oil futures,0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00,1,1,1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",eluded india,0.00|0.00|0.00|0.00|0.00|0.00|0.91|0.09|0.00|0.00|0.00,dug around the home of,0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,reported on national security,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,2,2,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",eluded india,0.00|0.00|0.00|0.00|0.00|0.00|0.91|0.09|0.00|0.00|0.00,dug around the home of,0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,reported on national security,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,1,1,1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",proceeded,0.00|0.14|0.14|0.00|0.09|0.18|0.36|0.09|0.00|0.00|0.00,allowed out,0.00|0.29|0.47|0.06|0.00|0.00|0.18|0.00|0.00|0.00|0.00,left the house,0.00|0.05|0.05|0.00|0.27|0.36|0.27|0.00|0.00|0.00|0.00,1,1,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",proceeded,0.00|0.14|0.14|0.00|0.09|0.18|0.36|0.09|0.00|0.00|0.00,allowed out,0.00|0.29|0.47|0.06|0.00|0.00|0.18|0.00|0.00|0.00|0.00,left the house,0.00|0.05|0.05|0.00|0.27|0.36|0.27|0.00|0.00|0.00|0.00,2,2,1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",spewing,0.00|0.06|0.65|0.06|0.00|0.06|0.12|0.06|0.00|0.00|0.00,ruled over iran,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,filled the front pages of,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00,1,1,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",spewing,0.00|0.06|0.65|0.06|0.00|0.06|0.12|0.06|0.00|0.00|0.00,ruled over iran,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,filled the front pages of,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00,2,1,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",stand back from their handiwork,1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,suffered through shouts of,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,trapped in a dark cave,0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00,2,-2,-1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",stand back from their handiwork,1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,suffered through shouts of,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,trapped in a dark cave,0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00,2,2,1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",changed little,0.00|0.00|0.00|0.09|0.00|0.00|0.36|0.55|0.00|0.00|0.00,had this,0.00|0.00|0.00|0.12|0.06|0.00|0.71|0.12|0.00|0.00|0.00,recommending,0.00|0.00|0.00|0.00|0.00|0.10|0.60|0.30|0.00|0.00|0.00,1,-2,-1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",changed little,0.00|0.00|0.00|0.09|0.00|0.00|0.36|0.55|0.00|0.00|0.00,had this,0.00|0.00|0.00|0.12|0.06|0.00|0.71|0.12|0.00|0.00|0.00,recommending,0.00|0.00|0.00|0.00|0.00|0.10|0.60|0.30|0.00|0.00|0.00,1,1,-1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",lived in the bay area,0.00|0.00|0.00|0.00|0.00|0.00|0.27|0.73|0.00|0.00|0.00,holds its needles,0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00,retains its stiff dark,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00,2,1,1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",lived in the bay area,0.00|0.00|0.00|0.00|0.00|0.00|0.27|0.73|0.00|0.00|0.00,holds its needles,0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00,retains its stiff dark,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00,2,-1,-2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",removed from power,0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,worked with the company,0.00|0.00|0.00|0.00|0.00|0.00|0.40|0.60|0.00|0.00|0.00,left me,0.00|0.00|0.00|0.20|0.20|0.20|0.10|0.30|0.00|0.00|0.00,-1,1,1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",removed from power,0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,worked with the company,0.00|0.00|0.00|0.00|0.00|0.00|0.40|0.60|0.00|0.00|0.00,left me,0.00|0.00|0.00|0.20|0.20|0.20|0.10|0.30|0.00|0.00|0.00,2,2,1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",hold well,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00,held hostage by bosnian serbs,0.00|0.00|0.00|0.05|0.89|0.05|0.00|0.00|0.00|0.00|0.00,struggled with cocaine and alcohol,0.00|0.00|0.00|0.00|0.00|0.00|0.90|0.10|0.00|0.00|0.00,-2,1,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",hold well,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00,held hostage by bosnian serbs,0.00|0.00|0.00|0.05|0.89|0.05|0.00|0.00|0.00|0.00|0.00,struggled with cocaine and alcohol,0.00|0.00|0.00|0.00|0.00|0.00|0.90|0.10|0.00|0.00|0.00,1,2,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",thinks about it,0.09|0.55|0.00|0.09|0.09|0.00|0.18|0.00|0.00|0.00|0.00,had the run of,0.00|0.00|0.00|0.00|0.00|0.50|0.20|0.30|0.00|0.00|0.00,will halt,0.00|0.90|0.10|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,2,1,1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",thinks about it,0.09|0.55|0.00|0.09|0.09|0.00|0.18|0.00|0.00|0.00|0.00,had the run of,0.00|0.00|0.00|0.00|0.00|0.50|0.20|0.30|0.00|0.00|0.00,will halt,0.00|0.90|0.10|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1,-1,-1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",unconfessed,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,appreciated a stunning 45 percent,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,taking lessons,0.00|0.00|0.10|0.00|0.00|0.00|0.90|0.00|0.00|0.00|0.00,-2,-1,-1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",unconfessed,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,appreciated a stunning 45 percent,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,taking lessons,0.00|0.00|0.10|0.00|0.00|0.00|0.90|0.00|0.00|0.00|0.00,1,1,-1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",had 23 seats  four,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,engaged in african affairs,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,gained 12570  an increase,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00,-2,1,-2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",had 23 seats  four,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,engaged in african affairs,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,gained 12570  an increase,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00,-2,-1,-2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",had a professional career,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,justifying it,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,clogged the roads,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,2,1,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",had a professional career,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,justifying it,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,clogged the roads,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,2,2,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",lost 10219  or 10,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00,exceeded  28,0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,advised women who had caesarean,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,-2,-2,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",lost 10219  or 10,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00,exceeded  28,0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,advised women who had caesarean,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,-2,-2,2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",keeping her out of kindergarten,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,listened to a mozart sonata,0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,played magazine sweepstakes and similar,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,-1,-2,1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",keeping her out of kindergarten,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,listened to a mozart sonata,0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,played magazine sweepstakes and similar,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,-1,2,-1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",attend classes,0.00|0.00|0.20|0.07|0.17|0.17|0.40|0.00|0.00|0.00|0.00,fell 24 percent,0.00|0.00|0.00|0.00|0.83|0.00|0.17|0.00|0.00|0.00|0.00,do double  plays,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,2,-1,-1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",attend classes,0.00|0.00|0.20|0.07|0.17|0.17|0.40|0.00|0.00|0.00|0.00,fell 24 percent,0.00|0.00|0.00|0.00|0.83|0.00|0.17|0.00|0.00|0.00|0.00,do double  plays,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,1,-1,-2
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",made and savored here,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00,savored here,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00,confined to his office building,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,-1,-1,-1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",made and savored here,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00,savored here,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00,confined to his office building,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,-1,-1,1
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",stopped playing,0.07|0.07|0.00|0.07|0.00|0.21|0.29|0.29|0.00|0.00|0.00,sat in the car,0.09|0.36|0.55|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,confined to his west bank,0.00|0.00|0.00|0.00|0.11|0.24|0.66|0.00|0.00|0.00|0.00,2,1,2
